1 1.409993e+000 2.552108e+000
2 3.498023e+000 4.326064e+000
3 5.041409e+000 5.702080e+000
4 6.257943e+000 6.807030e+000
5 7.235914e+000 7.705925e+000
6 8.025813e+000 8.438489e+000
7 8.660545e+000 9.031555e+000
8 9.163381e+000 9.504481e+000
9 9.551703e+000 9.871897e+000
10 9.838993e+000 1.014525e+001
11 1.003600e+001 1.033375e+001
12 1.015147e+001 1.044495e+001
13 1.019265e+001 1.048517e+001
14 1.016562e+001 1.045979e+001
15 1.007557e+001 1.037340e+001
16 9.926936e+000 1.023003e+001
17 9.723583e+000 1.003317e+001
18 9.468890e+000 9.785942e+000
19 9.165840e+000 9.491094e+000
20 8.817084e+000 9.151107e+000
21 8.424994e+000 8.768211e+000
22 7.991702e+000 8.344428e+000
23 7.519137e+000 7.881595e+000
24 7.009051e+000 7.381394e+000
25 6.463046e+000 6.845365e+000
26 5.882588e+000 6.274929e+000
27 5.269026e+000 5.671397e+000
28 4.623605e+000 5.035984e+000
29 3.947479e+000 4.369819e+000
30 3.241718e+000 3.673953e+000
31 2.507321e+000 2.949369e+000
32 1.745219e+000 2.196986e+000
33 9.562836e-001 1.417667e+000
34 1.413334e-001 6.122204e-001
35 -6.988711e-001 -2.185891e-001
36 -1.563548e+000 -1.074042e+000
37 -2.452458e+000 -1.953459e+000
38 -3.361399e+000 -2.856197e+000
39 -4.320433e+000 -3.781644e+000
40 -5.093128e+000 -4.729224e+000
41 -5.716655e+000 -5.698385e+000
42 -5.590994e+000 -6.688605e+000
43 -5.602031e+000 -7.699385e+000
44 -5.600967e+000 -8.730249e+000
45 -5.601063e+000 -9.780744e+000
46 -5.601055e+000 -1.085044e+001
47 -5.601056e+000 -1.193891e+001
48 -5.601056e+000 -1.304577e+001
49 -5.601056e+000 -1.417063e+001
